pv,upper,lower,precision,drive_high,drive_low,scan
LI-RF-MOSC-01:FREQ,500000000.0,499000000.0,1,500000000.0,499000000.0,I/O Intr
LI-RF-MOSC-01:FREQ_SET,499520639.7,499500639.7,1,499520639.7,499500639.7,Passive
SR-DI-EMIT-01:HEMIT,1500.0,-1500.0,3,1500.0,-1500.0,.1 second
SR-DI-EMIT-01:VEMIT,1500.0,-1500.0,3,1500.0,-1500.0,.1 second
SR01-PC-DL1:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01-PC-DL1:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01-PC-DL2:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01-PC-DL2:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01-PC-DL3:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01-PC-DL3:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01-PC-DL4:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01-PC-DL4:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01-PC-DQ1-01:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01-PC-DQ1-01:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01-PC-DQ1-02:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01-PC-DQ1-02:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01-PC-O0X-01:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01-PC-O0X-01:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01-PC-O1X-01:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01-PC-O1X-01:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01-PC-O1X-02:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01-PC-O1X-02:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01A-PC-A1L-05:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01A-PC-A1L-05:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01A-PC-A1N-14:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01A-PC-A1N-14:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01A-PC-A2L-06:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01A-PC-A2L-06:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01A-PC-A2N-13:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01A-PC-A2N-13:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01A-PC-HSTR-01:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01A-PC-HSTR-01:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01A-PC-HSTR-02:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01A-PC-HSTR-02:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01A-PC-HSTR-03:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01A-PC-HSTR-03:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01A-PC-HSTR-04:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01A-PC-HSTR-04:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01A-PC-HSTR-05:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01A-PC-HSTR-05:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01A-PC-HSTR-06:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01A-PC-HSTR-06:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01A-PC-HSTR-07:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01A-PC-HSTR-07:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01A-PC-HSTR-08:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01A-PC-HSTR-08:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01A-PC-HSTR-09:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01A-PC-HSTR-09:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01A-PC-HSTR-10:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01A-PC-HSTR-10:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01A-PC-HSTR-11:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01A-PC-HSTR-11:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01A-PC-HSTR-12:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01A-PC-HSTR-12:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01A-PC-Q0L-01:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01A-PC-Q0L-01:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01A-PC-Q1L-02:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01A-PC-Q1L-02:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01A-PC-Q1N-17:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01A-PC-Q1N-17:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01A-PC-Q2L-03:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01A-PC-Q2L-03:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01A-PC-Q2N-16:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01A-PC-Q2N-16:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01A-PC-Q3L-04:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01A-PC-Q3L-04:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01A-PC-Q3N-15:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01A-PC-Q3N-15:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01A-PC-Q4N-07:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01A-PC-Q4N-07:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01A-PC-Q4N-12:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01A-PC-Q4N-12:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01A-PC-Q5N-08:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01A-PC-Q5N-08:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01A-PC-Q5N-11:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01A-PC-Q5N-11:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
