set_pv,offset_pv,delta_pv
SR01A-PC-Q0L-01:SETI,SR01A-PC-Q0L-01:OFFSET1,SR-CS-TFB-01:01Q0L01:I
SR01A-PC-Q1L-02:SETI,SR01A-PC-Q1L-02:OFFSET1,SR-CS-TFB-01:01Q1L02:I
SR01A-PC-Q1N-17:SETI,SR01A-PC-Q1N-17:OFFSET1,SR-CS-TFB-01:01Q1N17:I
SR01A-PC-Q2L-03:SETI,SR01A-PC-Q2L-03:OFFSET1,SR-CS-TFB-01:01Q2L03:I
SR01A-PC-Q2N-16:SETI,SR01A-PC-Q2N-16:OFFSET1,SR-CS-TFB-01:01Q2N16:I
SR02A-PC-Q1N-01:SETI,SR02A-PC-Q1N-01:OFFSET1,SR-CS-TFB-01:02Q1N01:I
SR02A-PC-Q1N-16:SETI,SR02A-PC-Q1N-16:OFFSET1,SR-CS-TFB-01:02Q1N16:I
SR02A-PC-Q2N-02:SETI,SR02A-PC-Q2N-02:OFFSET1,SR-CS-TFB-01:02Q2N02:I
SR02A-PC-Q2N-15:SETI,SR02A-PC-Q2N-15:OFFSET1,SR-CS-TFB-01:02Q2N15:I
SR03A-PC-Q1N-01:SETI,SR03A-PC-Q1N-01:OFFSET1,SR-CS-TFB-01:03Q1N01:I
SR03A-PC-Q1N-16:SETI,SR03A-PC-Q1N-16:OFFSET1,SR-CS-TFB-01:03Q1N16:I
SR03A-PC-Q2N-02:SETI,SR03A-PC-Q2N-02:OFFSET1,SR-CS-TFB-01:03Q2N02:I
SR03A-PC-Q2N-15:SETI,SR03A-PC-Q2N-15:OFFSET1,SR-CS-TFB-01:03Q2N15:I
SR04A-PC-Q0L-17:SETI,SR04A-PC-Q0L-17:OFFSET1,SR-CS-TFB-01:04Q0L17:I
SR04A-PC-Q1L-16:SETI,SR04A-PC-Q1L-16:OFFSET1,SR-CS-TFB-01:04Q1L16:I
SR04A-PC-Q1N-01:SETI,SR04A-PC-Q1N-01:OFFSET1,SR-CS-TFB-01:04Q1N01:I
SR04A-PC-Q2L-15:SETI,SR04A-PC-Q2L-15:OFFSET1,SR-CS-TFB-01:04Q2L15:I
SR04A-PC-Q2N-02:SETI,SR04A-PC-Q2N-02:OFFSET1,SR-CS-TFB-01:04Q2N02:I
SR05A-PC-Q0L-01:SETI,SR05A-PC-Q0L-01:OFFSET1,SR-CS-TFB-01:05Q0L01:I
SR05A-PC-Q1L-02:SETI,SR05A-PC-Q1L-02:OFFSET1,SR-CS-TFB-01:05Q1L02:I
SR05A-PC-Q1N-17:SETI,SR05A-PC-Q1N-17:OFFSET1,SR-CS-TFB-01:05Q1N17:I
SR05A-PC-Q2L-03:SETI,SR05A-PC-Q2L-03:OFFSET1,SR-CS-TFB-01:05Q2L03:I
SR05A-PC-Q2N-16:SETI,SR05A-PC-Q2N-16:OFFSET1,SR-CS-TFB-01:05Q2N16:I
SR06A-PC-Q1N-01:SETI,SR06A-PC-Q1N-01:OFFSET1,SR-CS-TFB-01:06Q1N01:I
SR06A-PC-Q1N-16:SETI,SR06A-PC-Q1N-16:OFFSET1,SR-CS-TFB-01:06Q1N16:I
SR06A-PC-Q2N-02:SETI,SR06A-PC-Q2N-02:OFFSET1,SR-CS-TFB-01:06Q2N02:I
SR06A-PC-Q2N-15:SETI,SR06A-PC-Q2N-15:OFFSET1,SR-CS-TFB-01:06Q2N15:I
SR07A-PC-Q1N-01:SETI,SR07A-PC-Q1N-01:OFFSET1,SR-CS-TFB-01:07Q1N01:I
SR07A-PC-Q1N-16:SETI,SR07A-PC-Q1N-16:OFFSET1,SR-CS-TFB-01:07Q1N16:I
SR07A-PC-Q2N-02:SETI,SR07A-PC-Q2N-02:OFFSET1,SR-CS-TFB-01:07Q2N02:I
SR07A-PC-Q2N-15:SETI,SR07A-PC-Q2N-15:OFFSET1,SR-CS-TFB-01:07Q2N15:I
SR08A-PC-Q0L-17:SETI,SR08A-PC-Q0L-17:OFFSET1,SR-CS-TFB-01:08Q0L17:I
SR08A-PC-Q1L-16:SETI,SR08A-PC-Q1L-16:OFFSET1,SR-CS-TFB-01:08Q1L16:I
SR08A-PC-Q1N-01:SETI,SR08A-PC-Q1N-01:OFFSET1,SR-CS-TFB-01:08Q1N01:I
SR08A-PC-Q2L-15:SETI,SR08A-PC-Q2L-15:OFFSET1,SR-CS-TFB-01:08Q2L15:I
SR08A-PC-Q2N-02:SETI,SR08A-PC-Q2N-02:OFFSET1,SR-CS-TFB-01:08Q2N02:I
SR09A-PC-Q0L-01:SETI,SR09A-PC-Q0L-01:OFFSET1,SR-CS-TFB-01:09Q0L01:I
SR09A-PC-Q1L-02:SETI,SR09A-PC-Q1L-02:OFFSET1,SR-CS-TFB-01:09Q1L02:I
SR09A-PC-Q1N-17:SETI,SR09A-PC-Q1N-17:OFFSET1,SR-CS-TFB-01:09Q1N17:I
SR09A-PC-Q2L-03:SETI,SR09A-PC-Q2L-03:OFFSET1,SR-CS-TFB-01:09Q2L03:I
SR09A-PC-Q2N-16:SETI,SR09A-PC-Q2N-16:OFFSET1,SR-CS-TFB-01:09Q2N16:I
SR10A-PC-Q1N-01:SETI,SR10A-PC-Q1N-01:OFFSET1,SR-CS-TFB-01:10Q1N01:I
SR10A-PC-Q1N-16:SETI,SR10A-PC-Q1N-16:OFFSET1,SR-CS-TFB-01:10Q1N16:I
SR10A-PC-Q2N-02:SETI,SR10A-PC-Q2N-02:OFFSET1,SR-CS-TFB-01:10Q2N02:I
SR10A-PC-Q2N-15:SETI,SR10A-PC-Q2N-15:OFFSET1,SR-CS-TFB-01:10Q2N15:I
SR11A-PC-Q1N-01:SETI,SR11A-PC-Q1N-01:OFFSET1,SR-CS-TFB-01:11Q1N01:I
SR11A-PC-Q1N-16:SETI,SR11A-PC-Q1N-16:OFFSET1,SR-CS-TFB-01:11Q1N16:I
SR11A-PC-Q2N-02:SETI,SR11A-PC-Q2N-02:OFFSET1,SR-CS-TFB-01:11Q2N02:I
SR11A-PC-Q2N-15:SETI,SR11A-PC-Q2N-15:OFFSET1,SR-CS-TFB-01:11Q2N15:I
SR12A-PC-Q0L-17:SETI,SR12A-PC-Q0L-17:OFFSET1,SR-CS-TFB-01:12Q0L17:I
SR12A-PC-Q1L-16:SETI,SR12A-PC-Q1L-16:OFFSET1,SR-CS-TFB-01:12Q1L16:I
SR12A-PC-Q1N-01:SETI,SR12A-PC-Q1N-01:OFFSET1,SR-CS-TFB-01:12Q1N01:I
SR12A-PC-Q2L-15:SETI,SR12A-PC-Q2L-15:OFFSET1,SR-CS-TFB-01:12Q2L15:I
SR12A-PC-Q2N-02:SETI,SR12A-PC-Q2N-02:OFFSET1,SR-CS-TFB-01:12Q2N02:I
SR13A-PC-Q0L-01:SETI,SR13A-PC-Q0L-01:OFFSET1,SR-CS-TFB-01:13Q0L01:I
SR13A-PC-Q1L-02:SETI,SR13A-PC-Q1L-02:OFFSET1,SR-CS-TFB-01:13Q1L02:I
SR13A-PC-Q1N-17:SETI,SR13A-PC-Q1N-17:OFFSET1,SR-CS-TFB-01:13Q1N17:I
SR13A-PC-Q2L-03:SETI,SR13A-PC-Q2L-03:OFFSET1,SR-CS-TFB-01:13Q2L03:I
SR13A-PC-Q2N-16:SETI,SR13A-PC-Q2N-16:OFFSET1,SR-CS-TFB-01:13Q2N16:I
SR14A-PC-Q1N-01:SETI,SR14A-PC-Q1N-01:OFFSET1,SR-CS-TFB-01:14Q1N01:I
SR14A-PC-Q1N-16:SETI,SR14A-PC-Q1N-16:OFFSET1,SR-CS-TFB-01:14Q1N16:I
SR14A-PC-Q2N-02:SETI,SR14A-PC-Q2N-02:OFFSET1,SR-CS-TFB-01:14Q2N02:I
SR14A-PC-Q2N-15:SETI,SR14A-PC-Q2N-15:OFFSET1,SR-CS-TFB-01:14Q2N15:I
SR15A-PC-Q1N-01:SETI,SR15A-PC-Q1N-01:OFFSET1,SR-CS-TFB-01:15Q1N01:I
SR15A-PC-Q1N-16:SETI,SR15A-PC-Q1N-16:OFFSET1,SR-CS-TFB-01:15Q1N16:I
SR15A-PC-Q2N-02:SETI,SR15A-PC-Q2N-02:OFFSET1,SR-CS-TFB-01:15Q2N02:I
SR15A-PC-Q2N-15:SETI,SR15A-PC-Q2N-15:OFFSET1,SR-CS-TFB-01:15Q2N15:I
SR16A-PC-Q0L-17:SETI,SR16A-PC-Q0L-17:OFFSET1,SR-CS-TFB-01:16Q0L17:I
SR16A-PC-Q1L-16:SETI,SR16A-PC-Q1L-16:OFFSET1,SR-CS-TFB-01:16Q1L16:I
